Name,SpTopt,SpTnir,SpT,GravOpt,GravNIR,Binary,Young,PS1,PS1gmag,e_PS1gmag,PS1rmag,e_PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,AllWISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Gmag,e_Gmag,RAJ2000,DEJ2000,PS1ep,Epoch,pmRA,e_pmRA,pmDE,e_pmDE,pm,e_pm,pmPA,e_pmPA,plx,e_plx,Dist,e_Dist,vtan,e_vtan
SDSS_J000013.54+255418.6   ,T5         ,T4.5             ,T4.5           ,     ,      ,      ,    ,J000.0563+25.9054,     ,     ,     ,     ,     ,     ,19.17,0.01,17.42,0.01,J00001354+2554180,15.06,0.04,14.73,0.12,14.84,0.12,                   ,     ,     ,     ,     ,     ,     ,     ,     ,0.0564,25.905389,2010.354223,55326.38,-18.4,5.5,123.1,3.3,124.5,3.4,351.5,2.5,70.8,1.9,14.12,0.38,8.3,0.3
SDSS_J000112.18+153535.5   ,           ,L3.7INT-G        ,L3.7INT-G      ,     ,INT-G ,      ,Y   ,J000.3012+15.5925,     ,     ,     ,     ,20.37,0.01,18.85,0.02,17.81,0.01,J00011217+1535355,15.52,0.06,14.51,0.04,13.71,0.04,J000112.27+153533.6,12.97,0.02,12.54,0.02,11.67,0.24,     ,     ,0.301175,15.592648,2011.516632,55750.95,137.3,2.2,-181.2,2.8,227.3,2.6,142.8,0.6,      ,     ,24.34,2.93,26.2,3.2
WISEA_J000131.93-084126.9  ,           ,L1pec(blue)      ,L1pec(blue)    ,     ,      ,      ,    ,J000.3831-08.6909,     ,     ,     ,     ,20.21,0.03,18.57,0.01,17.57,0.01,J00013166-0841234,15.71,0.05,15.03,0.09,14.7,0.09,J000131.93-084127.2,14.34,0.03,13.99,0.05,12.36,     ,20.39,0.02,0.38313,-8.690953,2011.193046,55632.76,339.9,2.6,-304.9,3.3,456.6,2.9,131.9,0.4,      ,     ,       ,      ,      ,     
SDSS_J000250.98+245413.8   ,           ,L5.5             ,L5.5           ,     ,      ,      ,    ,J000.7124+24.9037,     ,     ,     ,     ,22.3,0.08,20.3,0.04,19.31,0.03,J00025097+2454141,17.17,0.22,16.06,0.22,15.66,0.22,J000250.98+245413.6,14.82,0.03,14.57,0.06,11.73,     ,     ,     ,0.712466,24.903795,2010.306694,55309.02,22.4,17.4,-45.6,7.2,50.8,9.9,153.8,17.6,      ,     ,53.33,6.54,12.8,3
2MASSI_J0003422-282241     ,M7.5       ,M7:FLD-G         ,M7.5           ,     ,FLD-G ,      ,    ,J000.9273-28.3785,20.92,0.03,19.41,0.01,16.77,0.01,15.43,0.01,14.67,0.01,J00034227-2822410,13.07,0.02,12.38,0.03,11.97,0.03,J000342.53-282242.7,11.71,0.02,11.52,0.02,11.01,0.12,17.19,0.01,0.927389,-28.378609,2012.528268,56120.45,285.8,1.5,-142.6,1.3,319.4,1.5,116.5,0.2,25.7,0.93,38.91,1.41,58.9,2.2
2MASS_J00044144-2058298    ,M8         ,                 ,M8             ,     ,      ,      ,    ,J001.1753-20.9747,20.85,0.06,19.15,0.01,16.41,0.01,14.94,0.01,14.06,0.01,J00044144-2058298,12.4,0.02,11.83,0.02,11.4,0.02,J000442.04-205828.9,11.06,0.02,10.75,0.02,10.27,0.07,     ,     ,1.17545,-20.974698,2011.822259,55862.58,751.9,1.9,91.9,2.5,757.5,1.9,83,0.2,      ,     ,18.94,3.14,68,11.3
2MASS_J00054844-2157196    ,M9         ,                 ,M9             ,     ,      ,      ,    ,J001.4543-21.9558,21.34,0.06,19.95,0.01,17.11,0.01,15.69,0.01,14.84,0.01,J00054844-2157196,13.27,0.03,12.62,0.02,12.2,0.03,J000549.00-215721.0,11.89,0.02,11.62,0.02,11.31,0.17,     ,     ,1.454361,-21.955894,2011.401752,55708.99,709.4,2.2,-122.9,2.5,720,2.2,99.8,0.2,      ,     ,25.43,4.22,86.8,14.4
ULAS_J000613.24+154020.7   ,           ,L9               ,L9             ,     ,      ,      ,    ,J001.5553+15.6723,     ,     ,     ,     ,     ,     ,21.05,0.08,19.87,0.06,                 ,     ,     ,     ,     ,     ,     ,J000613.26+154020.7,15.34,0.04,14.7,0.07,12.03,     ,     ,     ,1.555343,15.672398,2012.28616,56032.02,84.7,40.6,-38.5,20.4,93,35.6,114.4,21.4,      ,     ,43.24,5.35,19.1,7.7
SDSS_J000614.06+160454.5   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J001.5586+16.0816,     ,     ,     ,     ,20.75,0.02,19.23,0.01,18.3,0.01,J00061406+1604546,16.59,0.13,15.84,0.16,15.09,0.16,J000614.06+160454.1,15.07,0.04,14.9,0.07,12.26,     ,     ,     ,1.55861,16.081685,2011.471102,55734.32,4.4,4.1,-41.8,3.9,42,3.9,174,5.6,      ,     ,103.52,17.46,20.6,4
2MASSI_J0006205-172051     ,L2.5       ,L3.0             ,L2.5           ,     ,      ,      ,    ,J001.5852-17.3474,     ,     ,22.49,0.1,20.26,0.01,18.83,0.01,17.8,0.01,J00062050-1720506,15.66,0.07,14.65,0.05,14.01,0.05,J000620.47-172050.7,13.47,0.03,13.18,0.03,12.33,0.41,20.53,0.02,1.585299,-17.347427,2011.396961,55707.24,-37.6,2.8,3.3,4,37.7,2.8,275,6.1,      ,     ,36.47,4.39,6.5,0.9
WISEA_J000622.67-131955.2  ,           ,L5pec            ,L5pec          ,     ,      ,      ,    ,J001.5944-13.3322,     ,     ,     ,     ,     ,     ,19.69,0.02,18.79,0.13,J00062287-1319503,16.67,0.13,15.55,0.13,15.12,0.13,J000622.67-131955.6,14.24,0.03,13.75,0.04,12.26,     ,     ,     ,1.594486,-13.33215,2010.944887,55542.12,-238.4,5.5,-440.6,3.6,501,4.1,208.4,0.6,      ,     ,38.09,4.62,90.5,11
WISEA_J000627.85+185728.8  ,           ,L7               ,L7             ,     ,      ,      ,    ,J001.6160+18.9578,     ,     ,     ,     ,     ,     ,20.29,0.04,19.23,0.06,J00062779+1857320,17.14,0.21,15.69,0.15,14.84,0.08,J000627.85+185728.8,14.11,0.03,13.79,0.04,12.03,     ,     ,     ,1.616055,18.958019,2010.563012,55402.64,71.8,4.9,-293.5,7.1,302.2,7,166.3,1,      ,     ,32.93,3.99,47.2,5.8
SDSS_J000632.60+140606.3   ,L0         ,L0.4             ,L0             ,     ,      ,      ,    ,J001.6361+14.1018,     ,     ,     ,     ,20.18,0.02,18.71,0.01,17.72,0.01,J00063258+1406064,15.85,0.06,15.3,0.15,15.06,0.15,J000632.67+140606.5,14.31,0.03,14.05,0.04,11.7,     ,     ,     ,1.636094,14.101815,2011.329719,55682.68,80.2,2.8,14.9,3,81.6,2.8,79.5,2.1,      ,     ,69.76,11.64,27,4.6
SDSS_J000646.81+151225.8   ,           ,L4.3             ,L4.3           ,     ,      ,      ,    ,J001.6948+15.2070,     ,     ,     ,     ,21.17,0.05,19.56,0.03,18.44,0.03,J00064683+1512260,16.22,0.09,15.25,0.12,14.81,0.12,J000646.78+151225.5,14.15,0.03,13.9,0.04,12.18,     ,     ,     ,1.694908,15.207075,2011.656975,55802.21,-53.4,4.3,-41.2,2.8,67.4,3.8,232.3,2.9,      ,     ,43.17,5.23,13.8,1.8
LP_704-48                  ,M6         ,                 ,M6             ,     ,      ,      ,    ,J001.6975-08.8774,18.6,0.01,17.29,0.01,14.95,0.01,13.91,0.01,13.36,0.01,J00064746-0852350,11.97,0.02,11.43,0.02,11.09,0.02,J000647.41-085238.8,10.88,0.02,10.66,0.02,10.52,0.1,     ,     ,1.697543,-8.877561,2011.774757,55845.23,-64.7,1.4,-314.6,1.2,321.2,1.2,191.6,0.2,      ,     ,22.87,3.8,34.8,5.8
SDSS_J000649.16-085246.3   ,M9         ,                 ,M9             ,     ,      ,Y     ,    ,J001.7046-08.8805,     ,     ,20.97,0.03,18.24,0.01,16.74,0.01,15.84,0.01,J00064916-0852457,14.14,0.03,13.55,0.04,13.13,0.04,J000649.11-085249.5,12.76,0.02,12.35,0.03,11.64,0.25,18.49,0.01,1.704646,-8.880528,2011.63039,55792.5,-63.1,1.8,-321.7,2.2,327.8,2.2,191.1,0.3,      ,     ,35.58,5.91,55.3,9.2
2MASS_J00070787-2458042    ,M7         ,                 ,M7             ,     ,      ,      ,    ,J001.7835-24.9680,20.79,0.03,19.38,0.01,16.75,0.01,15.47,0.01,14.72,0.01,J00070787-2458042,13.12,0.02,12.45,0.02,12.06,0.02,J000708.03-245805.0,11.84,0.02,11.64,0.02,11.36,0.17,     ,     ,1.783543,-24.968077,2011.411937,55712.71,183.5,1.7,-56.3,1.4,191.9,1.7,107.1,0.4,38.8,1.33,25.77,0.88,23.4,0.8
WISEPC_J000849.76-173922.6 ,           ,T6               ,T6             ,     ,      ,      ,    ,J002.2073-17.6566,     ,     ,     ,     ,     ,     ,     ,     ,19.56,0.17,                 ,17.03,0.06,17.77,0.13,17,     ,J000849.75-173923.1,16.88,0.11,14.8,0.07,12.09,     ,     ,     ,2.207352,-17.65671,2012.580068,56139.37,-129.8,26.2,-336.2,24.6,360.4,24.8,201.1,4.1,      ,     ,24.45,2.28,41.8,4.8
2MASS_J00100009-2031122    ,L0         ,M8.8:            ,L0             ,     ,      ,      ,    ,J002.5008-20.5200,     ,     ,20.82,0.03,18.44,0.01,16.97,0.01,15.99,0.01,J00100009-2031122,14.13,0.02,13.37,0.03,12.88,0.03,J001000.18-203112.1,12.54,0.02,12.28,0.02,11.99,0.31,     ,     ,2.500841,-20.520049,2011.825079,55863.61,112.6,2.1,9.1,1.4,113,2.1,85.4,0.7,      ,     ,30.93,5.14,16.6,2.8
ULAS_J001040.57+010013.1   ,           ,L1:              ,L1:            ,     ,      ,      ,    ,J002.6691+01.0034,     ,     ,     ,     ,     ,     ,20.71,0.16,19.99,0.12,                 ,     ,     ,     ,     ,     ,     ,J001040.57+010013.0,16.53,0.09,16.23,0.24,12.31,     ,     ,     ,2.66914,1.003497,2012.638741,56160.8,82.5,24.2,-111.5,43.3,138.7,36.4,143.5,14.8,      ,     ,171.78,34.09,112.9,37.2
LSR_J0011+5908             ,M6.5       ,                 ,M6.5           ,     ,      ,      ,    ,J002.8762+59.1402,16.3,0.01,14.94,0.01,     ,     ,     ,     ,     ,     ,J00113182+5908400,9.95,0.02,9.39,0.03,9.09,0.02,J001130.57+590827.5,8.87,0.02,8.65,0.02,8.43,0.03,     ,     ,2.876968,59.140694,2011.419165,55715.35,-902.5,2.7,-1161.8,2.4,1471.2,2.5,217.8,0.1,108.3,1.4,9.23,0.12,64.4,0.8
2MASSI_J0013578-223520     ,L4         ,L5.7             ,L4             ,     ,      ,      ,    ,J003.4910-22.5892,     ,     ,     ,     ,20.66,0.02,18.84,0.03,17.79,0.02,J00135779-2235200,15.78,0.07,14.6,0.05,14.04,0.05,J001357.84-223520.9,13.32,0.03,13.04,0.03,12.1,     ,     ,     ,3.491019,-22.589174,2010.695962,55451.2,61,2.5,-74.4,3,96.2,2.8,140.7,1.6,      ,     ,29.81,3.59,13.6,1.7
2MASS_J00135882-1816462    ,L1         ,L5pec            ,L1             ,     ,      ,      ,    ,J003.4950-18.2802,     ,     ,     ,     ,21.47,0.03,19.95,0.05,18.87,0.01,J00135882-1816462,16.54,0.14,15.89,0.13,15.04,0.13,J001358.81-181648.4,14.55,0.03,14.14,0.05,12,     ,     ,     ,3.49502,-18.280141,2011.025216,55571.46,-41.3,8.3,-175.8,6.4,180.6,6.5,193.2,2.6,      ,     ,45.46,5.52,38.9,4.9
WISEA_J001450.17-083823.4  ,sdL0       ,sdM9             ,sdL0           ,     ,      ,      ,    ,J003.7095-08.6398,21.37,0.07,20.1,0.01,17.4,0.01,16.25,0.01,15.75,0.01,J00144919-0838207,14.47,0.03,13.95,0.05,13.77,0.05,J001450.17-083823.4,13.43,0.03,13.2,0.03,12.04,     ,     ,     ,3.709338,-8.639861,2011.322355,55679.99,1478.2,2,-251.3,3.3,1499.4,2.1,99.6,0.1,      ,     ,47.32,7.87,336.4,55.9
2MASS_J00150206+2959323    ,           ,L7.5pec(blue)    ,L7.5pec(blue)  ,     ,      ,      ,    ,J003.7601+29.9915,     ,     ,     ,     ,21.44,0.04,19.35,0.01,18.29,0.02,J00150206+2959323,16.16,0.08,15.23,0.07,14.48,0.07,J001502.38+295929.9,13.73,0.03,13.39,0.03,11.69,0.24,     ,     ,3.759929,29.991607,2010.789432,55485.34,377.2,3.5,-230.1,3.3,441.8,3.5,121.4,0.4,      ,     ,26.4,3.18,55.3,6.7
2MASSW_J0015447+351603     ,L2         ,L1.0             ,L2             ,     ,      ,      ,    ,J003.9367+35.2665,     ,     ,20.38,0.03,18.18,0.01,16.81,0.01,15.88,0.01,J00154476+3516026,13.88,0.03,12.89,0.02,12.26,0.02,J001544.81+351559.8,11.79,0.02,11.54,0.02,10.95,0.1,     ,     ,3.936774,35.266588,2011.378563,55700.52,54.6,1.5,-255.2,1.3,261,1.3,167.9,0.3,      ,     ,17.96,2.98,22.2,3.7
SDSS_J001608.44-004302.3   ,           ,L5.5             ,L5.5           ,     ,      ,      ,    ,J004.0357-00.7174,     ,     ,     ,     ,21.05,0.03,19.63,0.03,18.65,0.02,J00160844-0043021,16.33,0.12,15.23,0.09,14.54,0.09,J001608.55-004302.5,13.84,0.03,13.39,0.03,11.83,     ,     ,     ,4.035664,-0.717396,2011.652786,55800.68,133.1,4.6,-25,6.3,135.4,4.7,100.6,2.6,      ,     ,30.91,3.73,19.8,2.5
SDSS_J001637.62-103911.2   ,L0         ,M8.9             ,L0             ,     ,      ,      ,    ,J004.1562-10.6538,     ,     ,     ,     ,19.7,0.02,18.23,0.01,17.34,0.01,J00163762-1039106,15.46,0.05,14.78,0.1,14.53,0.1,J001637.53-103913.0,14.14,0.03,13.82,0.04,12.35,0.44,20.03,0.01,4.156381,-10.65363,2011.353429,55691.34,-112.7,3,-190.5,3.1,221.3,3.1,210.6,0.8,      ,     ,62.92,10.5,66,11.1
PSO_J004.1834+23.0741      ,           ,T0               ,T0             ,     ,      ,      ,    ,J004.1834+23.0740,     ,     ,     ,     ,     ,     ,20.37,0.06,18.9,0.03,J00164364+2304262,16.41,     ,15.7,     ,14.97,     ,J001643.97+230426.5,14.33,0.03,13.67,0.04,11.94,0.28,     ,     ,4.183263,23.074062,2010.609802,55419.73,399.3,3.1,34.4,2.5,400.8,3.1,85.1,0.4,      ,     ,24.9,2.55,47.3,4.9
ULAS_J001836.51-002559.1   ,           ,L9:              ,L9:            ,     ,      ,      ,    ,J004.6524-00.4331,     ,     ,     ,     ,     ,     ,20.71,0.06,19.7,0.05,                 ,     ,     ,     ,     ,     ,     ,J001836.54-002559.2,14.91,0.03,14.38,0.05,12.52,     ,     ,     ,4.652424,-0.43317,2012.365969,56061.17,153.4,23.2,-32.9,15.4,156.9,22.9,102.1,5.9,      ,     ,37.23,4.55,27.7,5.3
PSO_J004.7148+51.8918      ,           ,L7               ,L7             ,     ,      ,      ,Y   ,J004.7149+51.8917,     ,     ,     ,     ,     ,     ,20.18,0.05,19.15,0.1,J00185116+5153306,16.82,0.15,15.29,0.07,14.64,0.07,J001851.52+515330.6,13.59,0.04,13.03,0.04,12.41,0.4,     ,     ,4.714273,51.891814,2007.506475,54286.24,287.6,2.7,-10.4,3.3,287.8,2.7,92.1,0.7,      ,     ,       ,      ,      ,     
PSO_J004.7818+41.0231      ,           ,L0.1:FLD-G       ,L0.1:FLD-G     ,     ,FLD-G ,      ,    ,J004.7819+41.0229,     ,     ,20.78,0.04,18.11,0.01,16.66,0.01,15.84,0.01,J00190754+4101249,14.15,0.03,13.49,0.03,13.08,0.03,J001907.64+410123.2,12.78,0.02,12.46,0.02,11.83,0.3,18.39,0.01,4.781885,41.023115,2011.560794,55767.08,95.3,2,-134.3,1.7,164.7,1.8,144.6,0.7,      ,     ,33.24,5.52,26,4.3
SDSS_J001911.65+003017.8   ,L1         ,L0.4             ,L1             ,     ,      ,      ,    ,J004.7984+00.5047,     ,     ,21.72,0.07,19.34,0.02,17.87,0.01,16.9,0.01,J00191165+0030176,14.92,0.04,14.18,0.03,13.57,0.03,J001911.62+003017.2,13.26,0.03,13.01,0.03,12.2,0.43,19.63,0.01,4.798441,0.504756,2011.742998,55833.63,-41,2.9,-49,2.5,63.9,2.7,219.9,2.5,      ,     ,39.05,6.49,11.8,2
2MASS_J00192626+4614078    ,M8         ,M8:INT-G         ,M8             ,     ,INT-G ,      ,Y   ,J004.8600+46.2351,20.28,0.01,18.81,0.01,16.21,0.01,14.94,0.01,14.21,0.01,J00192626+4614078,12.6,0.02,11.94,0.01,11.5,0.01,J001926.39+461406.8,11.28,0.02,11.02,0.02,10.74,0.08,     ,     ,4.860041,46.235215,2011.760356,55839.97,111.7,1.4,-80.7,1.5,137.8,1.4,125.8,0.6,25.47,1.48,39.26,2.28,25.6,1.5
NLTT_1011B                 ,           ,L2               ,L2             ,     ,      ,      ,    ,J004.8860+40.3151,     ,     ,     ,     ,20.19,0.02,18.66,0.01,17.63,0.01,J00193275+4018576,15.54,0.06,14.93,0.07,14.32,0.07,J001932.66+401855.1,13.76,0.02,13.44,0.03,12.87,0.54,20.61,0.02,4.886131,40.315326,2011.501246,55745.33,-76.7,2,-192.6,2.2,207.3,2.2,201.7,0.6,      ,     ,43.15,7.18,42.4,7.1
2MASSI_J0019457+521317     ,M9         ,                 ,M9             ,     ,      ,      ,    ,J004.9426+52.2206,21.29,0.04,19.58,0.01,16.88,0.01,15.45,0.01,14.55,0.01,J00194579+5213179,12.79,0.02,12.07,0.02,11.62,0.02,J001946.18+521314.6,11.34,0.02,11.1,0.02,10.71,0.07,17.04,0.01,4.942667,52.220629,2011.929938,55901.91,309.3,1.1,-281.7,1.5,418.4,1.3,132.3,0.2,      ,     ,20,3.32,39.7,6.6
SDSS_J002138.86+002605.8   ,L1.5       ,                 ,L1.5           ,     ,      ,      ,    ,J005.4122+00.4347,     ,     ,     ,     ,21.67,0.06,20.28,0.02,19.29,0.03,J00213884+0026058,16.95,0.16,16.29,0.24,16.08,0.24,J002138.92+002605.0,15.76,0.05,15.35,0.1,12.48,     ,     ,     ,5.412243,0.434765,2011.317235,55678.12,127.5,4.5,-65.9,3.7,143.5,4.3,117.3,1.5,      ,     ,108.98,18.8,74.1,13
SDSS_J002209.31-011040.2   ,L0         ,M8.9             ,L0             ,     ,      ,      ,    ,J005.5393-01.1775,     ,     ,     ,     ,19.77,0.01,18.31,0.01,17.43,0.01,J00220932-0110399,15.82,0.07,15.09,0.1,14.7,0.1,J002209.40-011039.4,14.37,0.03,14.08,0.05,12.27,     ,20.15,0.03,5.539212,-1.177643,2011.670062,55806.99,114.3,2.7,46.6,2.7,123.4,2.7,67.8,1.3,      ,     ,70.73,11.82,41.4,7
ULAS_J002406.37+134705.3   ,           ,L3:              ,L3:            ,     ,      ,      ,    ,J006.0265+13.7848,     ,     ,     ,     ,22.64,0.12,21.18,0.1,20.28,0.04,                 ,     ,     ,     ,     ,     ,     ,J002406.37+134704.8,15.95,0.06,15.92,0.19,12.31,     ,     ,     ,6.026583,13.784828,2013.48857,56471.2,-105.6,55.6,-30.3,55.6,109.8,50.6,254,38.2,      ,     ,122.74,18.2,63.9,30.9
ULAS_J002422.94+002247.9   ,           ,T4.5             ,T4.5           ,     ,      ,      ,    ,J006.0957+00.3799,     ,     ,     ,     ,     ,     ,     ,     ,20.96,0.16,                 ,     ,     ,     ,     ,     ,     ,J002422.97+002247.2,16.96,0.12,15.89,0.18,12.44,     ,     ,     ,6.095764,0.37995,2012.370185,56062.71,       ,     ,       ,    ,      ,     ,     ,     ,      ,     ,47.6,5.72,      ,     
BRI_0021-0214              ,M9.5       ,M9.5             ,M9.5           ,     ,      ,      ,    ,J006.1023-01.9717,20.75,0.02,18.56,0.01,16.17,0.01,14.73,0.01,13.77,0.01,J00242463-0158201,11.99,0.04,11.08,0.02,10.54,0.02,J002424.57-015818.4,10.17,0.02,9.91,0.02,9.39,0.04,     ,     ,6.102404,-1.971785,2011.050377,55580.65,-74.8,1.3,142.7,1.1,161.1,1.1,332.3,0.4,80.71,0.95,12.39,0.15,9.5,0.1
LHS_1070                   ,M6         ,                 ,M6             ,     ,      ,triple,    ,J006.1837-27.1382,15.98,0.01,14.63,0.01,     ,     ,     ,     ,     ,     ,J00244419-2708242,9.25,0.03,8.55,0.03,8.24,0.03,J002444.12-270817.1,7.81,0.02,7.61,0.02,7.35,0.02,     ,     ,6.183772,-27.138151,2011.068693,55587.34,-112.3,3,653.6,8.6,663.2,8.5,350.3,0.3,129.47,2.48,7.72,0.15,24.3,0.6
2MASSI_J0025036+475919     ,L4:        ,                 ,L4:            ,     ,      ,Y     ,    ,J006.2670+47.9886,     ,     ,     ,     ,     ,     ,18.2,0.01,17.17,0.01,J00250365+4759191,14.84,0.04,13.67,0.06,12.9,0.06,J002504.03+475918.1,11.79,0.02,11.61,0.02,11.36,0.12,     ,     ,6.266556,47.988651,2008.866366,54782.94,308.3,3.6,0.5,2.7,308.3,3.6,89.9,0.5,22.82,0.88,43.82,1.69,64,2.6
LHS_1074                   ,sdM6       ,M8               ,sdM6           ,     ,      ,      ,    ,J006.4645-07.8043,19.84,0.02,18.37,0.01,16.85,0.01,16.16,0.01,15.87,0.01,J00255116-0748069,14.68,0.04,14.23,0.06,13.88,0.06,J002551.49-074815.5,13.78,0.03,13.58,0.04,12.41,     ,     ,     ,6.46459,-7.804377,2010.920931,55533.37,399.8,1.6,-709.7,1.4,814.6,1.5,150.6,0.1,      ,     ,87.58,14.59,338.2,56.3
SDSS_J002611.45-094341.1   ,L1         ,                 ,L1             ,     ,      ,      ,    ,J006.5468-09.7286,     ,     ,     ,     ,20.05,0.02,18.54,0.01,17.56,0.01,J00261147-0943406,15.6,0.07,15,0.07,14.38,0.07,J002611.29-094342.5,14.04,0.03,13.82,0.04,11.9,     ,20.31,0.02,6.547075,-9.728492,2011.095989,55597.31,-215.5,4.1,-154.1,3.2,264.9,3.8,234.4,0.8,      ,     ,56.57,9.43,71,11.9
ULAS_J002707.24+142349.0   ,           ,M8:              ,M8:            ,     ,      ,      ,    ,J006.7802+14.3969,     ,     ,     ,     ,22,0.06,20.68,0.06,19.81,0.09,                 ,     ,     ,     ,     ,     ,     ,                   ,     ,     ,     ,     ,     ,     ,     ,     ,6.780218,14.396937,2013.470719,56464.68,31.3,68,3,66.5,31.5,46.5,84.5,96.5,      ,     ,       ,      ,      ,     
PC_0025+0447               ,M9.5beta   ,L0:INT-G         ,M9.5beta       ,beta ,INT-G ,      ,Y   ,J006.9249+05.0615,     ,     ,22.01,0.15,20.57,0.02,19.08,0.03,18.09,0.02,J00274197+0503417,16.19,0.09,15.29,0.12,14.96,0.12,J002741.97+050341.7,14.62,0.03,14.07,0.05,12.51,0.53,     ,     ,6.924905,5.061586,2011.428994,55718.94,12,3.6,-7.6,4.9,14.2,3.9,122.3,18.9,10.35,0.8,96.62,7.47,6.5,1.9
LP_349-25                  ,M8         ,M8INT-G          ,M8             ,     ,INT-G ,Y     ,Y   ,J006.9847+22.3250,18.63,0.01,17.2,0.01,     ,     ,     ,     ,     ,     ,J00275592+2219328,10.61,0.02,9.97,0.02,9.57,0.02,J002756.30+221930.5,9.32,0.02,9.08,0.02,8.78,0.03,     ,     ,6.984698,22.325104,2011.591321,55778.23,413.6,2.5,-164.3,1.8,445,2.4,111.7,0.2,69.6,0.9,14.37,0.19,30.3,0.4
SDSS_J002800.37+010252.0   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J007.0019+01.0477,     ,     ,     ,     ,21.4,0.06,20.12,0.05,19.25,0.05,                 ,     ,     ,     ,     ,     ,     ,J002800.43+010251.4,16.15,0.06,16.24,0.22,12.28,     ,     ,     ,7.001905,1.047742,2012.222916,56008.92,116.7,10.6,-40.7,9.3,123.6,10.4,109.2,4.4,      ,     ,191.7,37.19,112.3,23.8
2MASS_J00282091+2249050    ,           ,L7:              ,L7:            ,     ,      ,      ,    ,J007.0895+22.8163,     ,     ,     ,     ,20.7,0.06,18.78,0.02,17.77,0.01,J00282091+2249050,15.61,0.07,14.47,0.06,13.78,0.06,J002821.44+224859.3,13.05,0.02,12.79,0.03,11.9,0.27,     ,     ,7.089444,22.816408,2011.301821,55672.49,564,2.8,-433.7,3.9,711.5,3.3,127.6,0.3,      ,     ,20.84,2.51,70.3,8.5
ULAS_J002827.56+142349.1   ,           ,L8.5             ,L8.5           ,     ,      ,      ,    ,J007.1151+14.3967,     ,     ,     ,     ,     ,     ,20.6,0.08,19.59,0.05,                 ,     ,     ,     ,     ,     ,     ,J002827.60+142348.4,15.17,0.04,14.94,0.1,10.97,     ,     ,     ,7.115115,14.396776,2012.63321,56158.78,113.2,34.9,-105.6,49.5,154.8,41.2,133,16.9,      ,     ,49.95,6.41,36.7,10.8
2MASSI_J0028394+150141     ,L4.5       ,L3               ,L4.5           ,     ,      ,      ,    ,J007.1649+15.0282,     ,     ,     ,     ,21.62,0.06,20.01,0.02,18.96,0.02,J00283943+1501418,16.51,0.11,15.26,0.07,14.56,0.07,J002839.56+150141.5,13.89,0.03,13.53,0.04,11.93,     ,     ,     ,7.164919,15.028212,2011.491143,55741.64,194.7,4.7,-18.9,7.4,195.6,4.7,95.5,2.2,      ,     ,35.77,4.33,33.2,4.1
2MASS_J00285545-1927165    ,L0:        ,L0.7             ,L0:            ,     ,      ,      ,    ,J007.2314-19.4545,     ,     ,20.95,0.03,18.55,0.01,17.08,0.01,16.1,0.01,J00285545-1927165,14.19,0.03,13.33,0.03,12.85,0.03,J002855.52-192716.2,12.52,0.02,12.25,0.02,11.83,0.27,     ,     ,7.231401,-19.454525,2011.628994,55791.99,110.6,3.2,27.4,3.1,113.9,3.2,76.1,1.6,      ,     ,30.54,5.07,16.5,2.8
ULAS_J002912.25+145604.9   ,           ,L1:              ,L1:            ,     ,      ,      ,    ,J007.3011+14.9347,     ,     ,     ,     ,22.02,0.07,20.53,0.02,19.51,0.03,                 ,     ,     ,     ,     ,     ,     ,J002912.28+145605.3,15.9,0.06,16.26,0.34,12.21,     ,     ,     ,7.30111,14.934731,2012.633648,56158.94,3.9,15.7,18.6,14.2,19,12,11.8,53.3,      ,     ,174.25,39.56,15.7,10.5
HIP_2397B                  ,           ,L0.5             ,L0.5           ,     ,      ,      ,    ,J007.6041+22.7461,     ,     ,21.44,0.04,18.95,0.01,17.45,0.01,16.46,0.01,J00302476+2244492,14.59,0.04,13.98,     ,13.18,     ,J003024.93+224447.0,13.1,0.03,12.85,0.03,12.56,0.46,19.14,0.01,7.604028,22.7463,2012.108008,55966.95,188.8,2.1,-182.3,2.4,262.4,2.2,134,0.5,29.51,1.15,33.89,1.32,42.2,1.7
2MASSW_J0030300-145033     ,L7         ,L6:FLD-G         ,L7             ,     ,FLD-G ,      ,    ,J007.6264-14.8427,     ,     ,     ,     ,21.67,0.17,19.77,0.03,18.83,0.02,J00303013-1450333,16.28,0.11,15.27,0.1,14.48,0.1,J003030.30-145033.7,13.68,0.03,13.33,0.03,12.01,     ,     ,     ,7.626312,-14.842707,2011.133196,55610.9,255.5,7.2,-31.8,6,257.5,7.1,97.1,1.3,37.42,4.5,26.72,3.21,32.6,4
2MASSW_J0030438+313932     ,L2         ,L3.2             ,L2             ,     ,      ,      ,    ,J007.6824+31.6586,     ,     ,22.25,0.07,19.98,0.01,18.52,0.01,17.54,0.01,J00304384+3139321,15.48,0.05,14.62,0.05,14.03,0.05,J003043.78+313931.2,13.49,0.03,13.13,0.03,12.18,0.32,     ,     ,7.682438,31.658718,2010.755181,55472.83,-65.2,2.8,-61.9,1.8,89.9,2.4,226.5,1.5,      ,     ,37.45,6.23,16,2.7
