Name,SpTopt,SpTnir,SpT,GravOpt,GravNIR,Binary,Young,PS1,PS1gmag,e_PS1gmag,PS1rmag,e_PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,AllWISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Gmag,e_Gmag,RAJ2000,DEJ2000,PS1ep,Epoch,pmRA,e_pmRA,pmDE,e_pmDE,pm,e_pm,pmPA,e_pmPA,plx,e_plx,Dist,e_Dist,vtan,e_vtan
SDSS_J082054.42+191031.4   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J125.2268+19.1753,19.03,0.01,17.77,0.01,16.58,0.01,16.05,0.01,15.8,0.01,J08205441+1910315,14.61,0.03,14.1,0.04,13.8,0.04,J082054.43+191031.2,13.66,0.03,13.49,0.03,11.77,     ,17.12,0.01,125.226832,19.175312,2014.442081,56819.47,22.2,0.8,-28,0.7,35.7,0.7,141.6,1.2,      ,     ,279.34,25.75,47.3,4.5
SDSS_J082113.86+534755.9   ,M0         ,                 ,M0             ,     ,      ,      ,    ,J125.3076+53.7988,18.78,0.01,17.37,0.01,16.85,0.01,16.62,0.01,16.54,0.01,J08211387+5347559,15.29,0.05,14.58,0.06,14.29,0.06,J082113.85+534755.8,14.02,0.03,14.05,0.04,12.05,     ,17.24,0.01,125.30767,53.798837,2014.562437,56863.43,-26,0.8,1,1.3,26.1,0.8,272.1,2.8,      ,     ,722,66.57,89.2,8.7
SDSS_J082145.47+245656.3   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J125.4394+24.9489,18.99,0.01,17.81,0.01,16.68,0.01,16.16,0.01,15.92,0.01,J08214548+2456562,14.76,0.04,14.18,0.06,13.98,0.07,J082145.46+245656.1,13.75,0.03,13.67,0.04,12.03,     ,17.24,0.01,125.439416,24.948907,2014.632964,56889.19,-13.6,1.4,-16.1,1.1,21.1,1.3,220.1,3.6,      ,     ,292.13,26.93,29.2,3.2
SDSS_J082204.67+250207.6   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J125.5193+25.0352,18.73,0.01,17.48,0.01,16.26,0.01,15.71,0.01,15.46,0.01,J08220468+2502076,14.29,0.03,13.6,0.04,13.42,0.04,J082204.65+250207.2,13.31,0.02,13.15,0.03,11.98,     ,16.8,0.01,125.519357,25.035295,2014.400821,56804.4,-28.2,1.6,-41.6,1.1,50.3,1.2,214.2,1.6,      ,     ,241.54,22.27,57.6,5.5
SDSS_J082206.92+245931.6   ,M4         ,                 ,M4             ,     ,      ,      ,    ,J125.5287+24.9920,19.16,0.01,17.95,0.01,16.49,0.01,15.83,0.01,15.52,0.01,J08220693+2459317,14.34,0.04,13.67,0.04,13.45,0.03,J082206.91+245931.5,13.29,0.03,13.09,0.03,11.99,     ,17.04,0.01,125.528799,24.992091,2014.341246,56782.64,-5.5,3,-10.7,2,12,2.2,207.2,13.5,      ,     ,164.74,15.19,9.4,1.9
SDSS_J082219.32+255202.5   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J125.5804+25.8673,19.07,0.01,17.88,0.01,16.58,0.01,15.98,0.01,15.69,0.01,J08221933+2552024,14.46,0.03,13.84,0.04,13.65,0.04,J082219.31+255202.4,13.55,0.03,13.38,0.03,12.31,     ,17.12,0.01,125.580481,25.867337,2014.450869,56822.68,-10.1,1.5,-0.6,0.7,10.1,1.5,266.6,4.3,      ,     ,278.62,25.69,13.4,2.3
SDSS_J082227.98+031501.4   ,M4         ,                 ,M4             ,     ,      ,      ,    ,J125.6166+03.2501,19.91,0.01,18.64,0.01,17.2,0.01,16.57,0.01,16.25,0.01,J08222797+0315017,14.95,0.04,14.39,0.04,14.15,0.07,J082227.98+031500.7,14.02,0.03,13.91,0.05,12.08,     ,17.75,0.01,125.616637,3.250132,2014.690404,56910.17,14.9,1,-73.4,2.7,74.9,2.6,168.5,0.9,      ,     ,228.39,21.06,81.1,8
SDSS_J082243.68+251049.0   ,M2         ,                 ,M2             ,     ,      ,      ,    ,J125.6819+25.1802,18.97,0.01,17.81,0.01,16.8,0.01,16.34,0.01,16.11,0.01,J08224368+2510491,15.09,0.04,14.27,0.06,14.13,0.06,J082243.67+251048.9,14.01,0.03,13.86,0.04,12.22,0.46,17.3,0.01,125.681927,25.180203,2014.595866,56875.64,-17.6,1.2,-22.8,1,28.8,1.1,217.6,2.3,      ,     ,449.63,41.46,61.4,6.1
SDSS_J082311.73+244708.7   ,M1         ,                 ,M1             ,     ,      ,      ,    ,J125.7988+24.7856,18.88,0.01,17.64,0.01,16.71,0.01,16.29,0.01,16.08,0.01,J08231173+2447088,14.97,0.05,14.35,0.04,14.13,0.06,J082311.71+244708.3,13.97,0.03,13.91,0.04,12.17,     ,17.21,0.01,125.798802,24.785657,2014.435647,56817.12,-18.4,0.9,-24.1,0.7,30.3,0.8,217.4,1.5,      ,     ,568.74,52.44,81.7,7.8
SDSS_J082313.08+194651.9   ,M1         ,                 ,M1             ,     ,      ,      ,    ,J125.8045+19.7810,18.8,0.01,17.64,0.01,16.72,0.01,16.31,0.01,16.1,0.01,J08231306+1946519,14.95,0.03,14.41,0.04,14.19,0.05,J082313.09+194651.7,14.09,0.03,13.99,0.05,11.98,     ,17.21,0.01,125.804598,19.781002,2014.503655,56841.96,31.6,0.9,-22.8,0.7,39,0.9,125.9,1.2,      ,     ,569.79,52.53,105.4,10
SDSS_J082327.16+253908.5   ,M4         ,                 ,M4             ,     ,      ,      ,    ,J125.8632+25.6522,19.24,0.01,18.03,0.01,16.66,0.01,16.03,0.01,15.73,0.01,J08232715+2539086,14.55,0.03,13.97,0.05,13.72,0.04,J082327.17+253908.2,13.61,0.03,13.4,0.03,12.55,     ,17.2,0.01,125.863243,25.652271,2014.445777,56820.82,15.6,2.9,-18.4,1.1,24.1,2.1,139.7,5.6,      ,     ,177.61,16.38,20.3,2.5
SDSS_J082414.03+352049.4   ,M5         ,                 ,M5             ,     ,      ,      ,    ,J126.0583+35.3473,20.38,0.03,19.07,0.01,17.07,0.01,16.15,0.01,15.71,0.01,J08241401+3520493,14.37,0.03,13.74,0.04,13.47,0.04,J082414.01+352050.2,13.3,0.03,13.06,0.03,12.41,     ,17.6,0.01,126.058381,35.347398,2014.625818,56886.58,-15.7,1.9,96.6,1.3,97.9,1.3,350.8,1.1,      ,     ,111.18,10.25,51.6,4.8
SDSS_J082415.76+404230.4   ,M5         ,                 ,M5             ,     ,      ,      ,    ,J126.0655+40.7083,20.82,0.04,19.65,0.01,17.74,0.01,16.85,0.01,16.42,0.01,J08241574+4042306,15.12,0.04,14.48,0.04,14.23,0.06,J082415.73+404230.0,13.98,0.03,13.74,0.03,11.84,     ,18.32,0.01,126.065559,40.708318,2014.689829,56909.96,-13.6,1.6,-40.1,2.4,42.3,2.3,198.7,2.3,      ,     ,151.45,13.96,30.4,3.3
SDSS_J082429.57+200815.0   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J126.1231+20.1374,19.24,0.01,18.01,0.01,16.92,0.01,16.41,0.01,16.17,0.01,J08242957+2008150,15.06,0.03,14.39,0.05,14.16,0.04,J082429.56+200814.9,14.04,0.03,13.89,0.04,12.47,     ,17.44,0.01,126.123177,20.137487,2014.438303,56818.09,-8.1,1.4,-4.9,1.3,9.5,1.4,238.6,8,      ,     ,326.38,30.09,14.7,2.5
SDSS_J082517.16+260702.0   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J126.3214+26.1170,19.01,0.01,17.84,0.01,16.8,0.01,16.33,0.01,16.09,0.01,J08251714+2607020,14.95,0.04,14.37,0.05,14.07,0.05,J082517.14+260701.6,14.03,0.03,13.87,0.04,12.36,     ,17.32,0.01,126.321436,26.11706,2014.490678,56837.22,-12.7,0.9,-46.6,0.8,48.3,0.8,195.2,1.1,      ,     ,309.4,28.53,70.8,6.6
SDSS_J082520.72+251615.9   ,M1         ,                 ,M1             ,     ,      ,      ,    ,J126.3362+25.2710,18.29,0.01,17.07,0.01,16.14,0.01,15.74,0.01,15.53,0.01,J08252071+2516160,14.42,0.03,13.77,0.04,13.55,0.03,J082520.69+251615.8,13.45,0.03,13.31,0.03,12.61,     ,16.62,0.01,126.336203,25.271042,2014.465407,56827.99,-37.2,1.1,-10.9,1.1,38.8,1.1,253.6,1.6,      ,     ,436.99,40.29,80.4,7.8
SDSS_J082547.49+354341.7   ,M5         ,                 ,M5             ,     ,      ,      ,    ,J126.4478+35.7276,20.04,0.01,18.73,0.01,16.7,0.01,15.77,0.01,15.27,0.01,J08254748+3543424,13.88,0.03,13.28,0.02,12.95,0.03,J082547.49+354340.2,12.84,0.02,12.61,0.03,12.23,0.4,17.23,0.01,126.447872,35.727664,2014.568241,56865.55,5.7,1.2,-166.4,2.5,166.5,2.5,178,0.4,      ,     ,93.59,8.63,73.9,6.9
SDSS_J082559.03+203836.9   ,M2         ,                 ,M2             ,     ,      ,      ,    ,J126.4959+20.6435,19.17,0.01,17.96,0.01,16.95,0.01,16.49,0.01,16.26,0.01,J08255903+2038369,15.12,0.04,14.39,0.04,14.16,0.05,J082559.02+203836.8,14.05,0.03,13.96,0.04,11.92,     ,17.46,0.01,126.495911,20.643555,2012.594689,56144.71,-12.8,1.5,-4.2,1.5,13.5,1.5,251.7,6.3,      ,     ,479.87,44.24,30.7,4.4
SDSS_J082609.68+203415.4   ,M6         ,                 ,M6             ,     ,      ,      ,    ,J126.5401+20.5708,20.72,0.04,19.23,0.01,17.3,0.01,16.33,0.01,15.8,0.01,J08260971+2034154,14.35,0.03,13.76,0.03,13.37,0.03,J082609.65+203415.0,13.2,0.03,13,0.03,12.03,     ,17.85,0.01,126.540154,20.570816,2014.626393,56886.79,-63.1,1,-31.4,3.9,70.4,1.9,243.6,2.8,      ,     ,67.14,11.17,22.4,3.8
SDSS_J082617.44+194335.7   ,M4         ,                 ,M4             ,     ,      ,      ,    ,J126.5725+19.7265,18.71,0.01,17.53,0.01,16.09,0.01,15.45,0.01,15.14,0.01,J08261745+1943357,13.9,0.03,13.24,0.03,12.98,0.02,J082617.42+194335.6,12.89,0.02,12.76,0.03,11.74,     ,16.62,0.01,126.572572,19.726529,2014.382505,56797.71,-35.5,2.2,-9.2,0.8,36.7,2.1,255.4,1.4,      ,     ,137.08,12.64,23.8,2.6
SDSS_J082623.82+210856.6   ,M5         ,                 ,M5             ,     ,      ,      ,    ,J126.5991+21.1488,21.02,0.04,19.71,0.01,17.87,0.01,17,0.01,16.54,0.01,J08262384+2108570,15.2,0.05,14.6,0.05,14.3,0.05,J082623.80+210856.3,14.18,0.03,13.95,0.04,12.43,     ,18.42,0.01,126.599169,21.148878,2014.659685,56898.95,-40.3,1.9,-55.4,1.1,68.5,1.4,216.1,1.4,      ,     ,160.42,14.79,52.1,4.9
SDSS_J082628.17+194430.5   ,M4         ,                 ,M4             ,     ,      ,      ,    ,J126.6173+19.7417,18.56,0.01,17.38,0.01,15.98,0.01,15.35,0.01,15.02,0.01,J08262817+1944308,13.83,0.03,13.26,0.03,12.96,0.03,J082628.16+194430.4,12.86,0.03,12.67,0.03,12.22,     ,16.61,0.01,126.617365,19.741725,2014.489446,56836.77,-5.2,3.3,-35.7,3.7,36.1,3.6,188.2,5.3,      ,     ,130.08,11.99,22.2,3
